feature,importance
Contract_MonthToMonth,0.17102386616380955
tenure,0.12586628629424154
TotalCharges,0.10011084141864479
TechSupport_No,0.06910339977403732
MonthlyCharges,0.06535143304763287
Internet_FiberOptic,0.06159451571719129
Contract_TwoYear,0.056831358834570196
Security_No,0.05624148830864652
Payment_ElectronicCheck,0.0326807849010327
Contract_OneYear,0.025410383668531183
Internet_DSL,0.015588308981350527
Backup_No,0.015083424921422083
Security_Yes,0.0134721815954218
Internet_No,0.013438414887070243
PaperlessBilling,0.012349996661496445
Backup_NoInternet,0.011626199216024882
gender,0.010298110450419786
Security_NoInternet,0.010008836975612912
TechSupport_Yes,0.00910603661798195
TechSupport_NoInternet,0.008793559115817175
Partner,0.008526986856898228
Backup_Yes,0.008124084295236592
Protection_No,0.007946787204149363
Dependents,0.0073609530453321555
Lines_Yes,0.007175775412256122
Movies_No,0.006857393231100546
TV_Yes,0.006728709739465714
Movies_Yes,0.006660909046455543
Payment_CreditCard,0.005908382426819812
Protection_NoInternet,0.00588193294776546
TV_No,0.005854656140279208
Lines_No,0.005705712656332395
Payment_BankTransfer,0.0053678049218821985
Protection_Yes,0.005163392881346761
TV_NoInternet,0.005064182776956075
Payment_MailedCheck,0.004648295514790708
SeniorCitizen,0.004317729816614853
Movies_NoInternet,0.003608291722497015
Lines_NoPhoneService,0.0025992562981530898
PhoneService,0.0025193355147124117
